Type,DataName,D1,D2,D3
Math,v1,12,200,5
Math,v2,23,300,10
Math,vAdd,34,500,
Math,vSub,-11,100,
Math,vMul,276,,
Math,vDiv,0.521739,0.67,
Math,vArea,452.16,12845,
Math,vSquare,144,40000,
Math,vPi,3.14,3.14,3.14
Math,first_number,10,11,
Math,second_number,2,22,
Math,base_number,3,3,
Math,exponent,2,2,
Math,number_to_round,3.14159,0.23,
Math,decimal_places,2,2,
Math,value_a,15,15,
Math,value_b,25,25,
Math,expected_sum,40,40,
Math,vSquareArea,144,40000,
Math,vBase,10,5,8
Math,vHeight,5,10,15
Math,vTwo,2,2,2
Math,vTriangleArea,25,25,
Math,v3,15,30,12
Math,vSum,40,60,
Math,vThree,3,3,3
Math,vAverage,13.33,20,
Math,vPrincipal,1000,2000,1500
Math,vRate,5,10,6
Math,vTime,2,3,2.5
Math,vHundred,100,100,100
Math,vSimpleInterest,100,600,225
Math,vRadius,5,10,7
Math,vVolume,785,6280,2307
Math,vTemp,0,0,0
Math,vTempRadius,0,0,0
Math,vTempArea,0,0,0
Math,vOne,1,1,1
Math,vRateDecimal,0,0,0
Math,vRateFactor,0,0,0
Math,vCompoundFactor,0,0,0
Math,vDividend,10,15,20
Math,vDivisor,3,4,5
